ret,kommune,komkode
Retten i Hjørring,Brønderslev,805
Retten i Hjørring,Frederikshavn,813
Retten i Hjørring,Hjørring,821
Retten i Hjørring,Jammerbugt,849
Retten i Hjørring,Læsø,825
Retten i Aalborg,Mariagerfjord,846
Retten i Aalborg,Rebild,840
Retten i Aalborg,Vesthimmerlands,820
Retten i Aalborg,Aalborg,851
Retten i Randers,Favrskov,710
Retten i Randers,Norddjurs,707
Retten i Randers,Randers,730
Retten i Randers,Syddjurs,706
Retten i Aarhus,Odder,727
Retten i Aarhus,Samsø,741
Retten i Aarhus,Aarhus,751
Retten i Viborg,Silkeborg,740
Retten i Viborg,Skive,779
Retten i Viborg,Viborg,791
Retten i Holstebro,Holstebro,661
Retten i Holstebro,Lemvig,665
Retten i Holstebro,Morsø,773
Retten i Holstebro,Struer,671
Retten i Holstebro,Thisted,787
Retten i Herning,Herning,657
Retten i Herning,Ikast-Brande,756
Retten i Herning,Ringkøbing-Skjern,760
Retten i Horsens,Hedensted,613
Retten i Horsens,Horsens,615
Retten i Horsens,Skanderborg,745
Retten i Kolding,Billund,530
Retten i Kolding,Fredericia,607
Retten i Kolding,Kolding,621
Retten i Kolding,Vejle,630
Retten i Esbjerg,Esbjerg,561
Retten i Esbjerg,Fanø,563
Retten i Esbjerg,Varde,573
Retten i Esbjerg,Vejen,575
Retten i Sønderborg,Haderslev,510
Retten i Sønderborg,Sønderborg,537
Retten i Sønderborg,Tønder,541
Retten i Sønderborg,Aabenraa,545
Retten i Odense,Assens,420
Retten i Odense,Kerteminde,439
Retten i Odense,Middelfart,410
Retten i Odense,Odense,461
Retten i Odense,Nordfyns,480
Retten i Svendborg,Faaborg-Midtfyn,430
Retten i Svendborg,Langeland,482
Retten i Svendborg,Nyborg,449
Retten i Svendborg,Svendborg,479
Retten i Svendborg,Ærø,492
Retten i Nykøbing Falster,Guldborgsund,376
Retten i Nykøbing Falster,Lolland,360
Retten i Nykøbing Falster,Vordingborg,390
Retten i Næstved,Faxe,320
Retten i Næstved,Næstved,370
Retten i Næstved,Slagelse,330
Retten i Næstved,Sorø,335
Retten i Holbæk,Holbæk,315
Retten i Holbæk,Kalundborg,323
Retten i Holbæk,Odsherred,306
Retten i Roskilde,Greve,253
Retten i Roskilde,Køge,259
Retten i Roskilde,Lejre,261
Retten i Roskilde,Ringsted,329
Retten i Roskilde,Roskilde,265
Retten i Roskilde,Solrød,269
Retten i Roskilde,Stevns,336
Retten i Hillerød,Allerød,201
Retten i Hillerød,Egedal,240
Retten i Hillerød,Frederikssund,209
Retten i Hillerød,Halsnæs,260
Retten i Hillerød,Hillerød,219
Retten i Helsingør,Fredensborg,210
Retten i Helsingør,Gribskov,270
Retten i Helsingør,Helsingør,217
Retten i Helsingør,Hørsholm,223
Retten i Lyngby,Furesø,190
Retten i Lyngby,Gentofte,157
Retten i Lyngby,Lyngby-Taarbæk,173
Retten i Lyngby,Rudersdal,230
Retten i Glostrup,Albertslund,165
Retten i Glostrup,Ballerup,151
Retten i Glostrup,Brøndby,153
Retten i Glostrup,Gladsaxe,159
Retten i Glostrup,Glostrup,161
Retten i Glostrup,Herlev,163
Retten i Glostrup,Hvidovre,167
Retten i Glostrup,Høje-Taastrup,169
Retten i Glostrup,Ishøj,183
Retten i Glostrup,Rødovre,175
Retten i Glostrup,Vallensbæk,187
Retten på Frederiksberg,Frederiksberg,147
Retten på Frederiksberg,København,101
Københavns Byret,Dragør,155
Københavns Byret,Tårnby,185
Københavns Byret,København,101
Retten på Bornholm,Bornholm,400
Retten i Hjørring,Hjørring,860
Retten i Horsens,Skanderborg,746
Retten i Sønderborg,Sønderborg,540
Retten i Sønderborg,Aabenraa,580
Retten i Sønderborg,Tønder,550
Retten i Holbæk,Holbæk,316
Retten i Horsens,Hedensted,766
Retten i Næstved,Sorø,340
Retten i Hjørring,Brønderslev,810
Retten i Roskilde,Lejre,350
Retten i Odense,Kerteminde,440
Retten i Hillerød,Frederikssund,250
Retten i Svendborg,Nyborg,450
Retten i Holbæk,Kalundborg,326
